indicator_id,indicator,unit,indicator_desc,source_org,
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)",NA,"Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.",
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",NA,"Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world, and is divided by GDP.","International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.",
BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)",NA,"Secondary income refers to transfers recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)",NA,"Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars.",World Bank staff estimates based on IMF balance of payments data.,
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",NA,"Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),NA,"Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",
BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",NA,"The net financial account shows net acquisition and disposal of financial assets and liabilities. It measures how net lending to or borrowing from nonresidents is financed, and is conceptually equal to the sum of the balances on the current and capital accounts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)",NA,"Net primary income refers to receipts and payments of employee compensation paid to nonresident workers and investment income (receipts and payments on direct investment, portfolio investment, other investments, and receipts on reserve assets). Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",NA,Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",NA,Net trade in goods is the difference between exports and imports of goods. Trade in services is not included. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",NA,Net errors and omissions constitute a residual category needed to ensure that accounts in the balance of payments statement sum to zero. Net errors and omissions are derived as the balance on the financial account minus the balances on the current and capital accounts. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",NA,"Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows total net FDI. In BPM6, financial account balances are calculated as the change in assets minus the change in liabilities. Net FDI outflows are assets and net FDI inflows are liabilities. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",NA,"Reserves and related items is the net change in a country's holdings of international reserves resulting from transactions on the current, capital, and financial accounts. Reserve assets are those external assets that are readily available to and controlled by monetary authorities for meeting balance of payments financing needs, and include holdings of monetary gold, special drawing rights (SDRs), reserve position in the International Monetary Fund (IMF), and other reserve assets. Also included are net credit and loans from the IMF (excluding reserve position) and total exceptional financing. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",NA,"Secondary income refers to transfers recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)",NA,"Net capital account records acquisitions and disposals of nonproduced nonfinancial assets, such as land sold to embassies and sales of leases and licenses, as well as capital transfers, including government debt forgiveness. The use of the term capital account in this context is designed to be consistent with the System of National Accounts, which distinguishes between capital transactions and financial transactions. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)",NA,"Exports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, net exports of goods under merchanting, nonmonetary gold, and services. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)",NA,Goods exports refer to all movable goods (including nonmonetary gold and net exports of goods under merchanting) involved in a change of ownership from residents to nonresidents. Data are in current U.S. dollars.,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)",NA,"Services refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)",NA,"Exports of goods, services and primary income is the sum of goods exports, service exports and primary income receipts. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",NA,"Foreign direct investment refers to direct investment equity flows in the reporting economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. Data are in current U.S. dollars.","International Monetary Fund, Balance of Payments database, supplemented by data from the United Nations Conference on Trade and Development and official national sources.",
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",NA,"Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net inflows (new investment inflows less disinvestment) in the reporting economy from foreign investors, and is divided by GDP.","International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",
CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)",NA,"The value of shares traded is the total number of shares traded, both domestic and foreign, multiplied by their respective matching prices. Figures are single counted (only one side of the transaction is considered). Companies admitted to listing and admitted to trading are included in the data. Data are end of year values converted to U.S. dollars using corresponding year-end foreign exchange rates.",World Federation of Exchanges database.,
CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)",NA,"The value of shares traded is the total number of shares traded, both domestic and foreign, multiplied by their respective matching prices. Figures are single counted (only one side of the transaction is considered). Companies admitted to listing and admitted to trading are included in the data. Data are end of year values.",World Federation of Exchanges database.,
CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)",NA,Turnover ratio is the value of domestic shares traded divided by their market capitalization. The value is annualized by multiplying the monthly average by 12.,World Federation of Exchanges database.,
DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",NA,"Net bilateral aid flows from DAC donors are the net disbursements of official development assistance (ODA) or official aid from the members of the Development Assistance Committee (DAC). Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. DAC members are Australia, Austria, Belgium, Canada, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Korea, Luxembourg, The Netherlands, New Zealand, Norway, Poland, Portugal, Slovak Republic, Slovienia, Spain, Sweden, Switzerland, United Kingdom, United States, and European Union Institutions. Regional aggregates include data for economies not specified elsewhere. World and income group totals include aid not allocated by country or region. Data are in current U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.",
DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",NA,Net Official development assistance (ODA) comprises grants or loans to developing countries and territories on the OECD/DAC list of aid recipients that are undertaken by the official sector with promotion of economic development and welfare as the main objective and at concessional financial terms.,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",
DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",NA,Net Official development assistance (ODA) comprises grants or loans to developing countries and territories on the OECD/DAC list of aid recipients that are undertaken by the official sector with promotion of economic development and welfare as the main objective and at concessional financial terms. It is shown as a share of donors' GNI.,"Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",NA,"Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),NA,"Total external debt stocks to gross national income. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad.","World Bank, International Debt Statistics.",
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)",NA,"Use of IMF Credit: Data related to the operations of the IMF are provided by the IMF Treasurer’s Department. They are converted from special drawing rights into dollars using end-of-period exchange rates for stocks and average-over-the-period exchange rates for flows. IMF trust fund operations under the Enhanced Structural Adjustment Facility, Extended Fund Facility, Poverty Reduction and Growth Facility, and Structural Adjustment Facility (Enhanced Structural Adjustment Facility in 1999) are presented together with all of the IMF’s special facilities (buffer stock, supplemental reserve, compensatory and contingency facilities, oil facilities, and other facilities). SDR allocations are also included in this category. According to the BPM6, SDR allocations are recorded as the incurrence of a debt liability of the member receiving them (because of a requirement to repay the allocation in certain circumstances, and also because interest accrues). This debt item is introduced for the first time this year with historical data starting in 1999.","World Bank, International Debt Statistics.",
DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves),NA,Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total reserves includes gold.,"World Bank, International Debt Statistics.",
DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)",NA,Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt.,"World Bank, International Debt Statistics.",
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt),NA,"Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt.","World Bank, International Debt Statistics.",
DT.DOD.PVLX.CD,Present value of external debt (current US$),NA,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",
DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)",NA,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. The exports denominator is a three-year average.","World Bank, International Debt Statistics.",
DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI),NA,"Present value of debt is the sum of short-term external debt plus the discounted sum of total debt service payments due on public, publicly guaranteed, and private nonguaranteed long-term external debt over the life of existing loans. The GNI denominator is a three-year average.","World Bank, International Debt Statistics.",
DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)",NA,"Net official flows from UN agencies are the net disbursements of total official flows from the UN agencies. Total official flows are the sum of Official Development Assistance (ODA) or official aid and Other Official Flows (OOF) and represent the total disbursements by the official sector at large to the recipient country. Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans. ODA consists of loans made on concessional terms (with a grant element of at least 25 percent, calculated at a rate of discount of 10 percent) and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. OOF are transactions by the official sector whose main objective is other than development-motivated, or, if development-motivated, whose grant element is below the 25 per cent threshold which would make them eligible to be recorded as ODA. The main classes of transactions included here are official export credits, official sector equity and portfolio investment, and debt reorganization undertaken by the official sector at nonconcessional terms (irrespective of the nature or the identity of the original creditor). UN agencies are United Nations includes the United Nations Children’s Fund (UNICEF), United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA), World Food Programme (WFP), International Fund for Agricultural Development (IFAD), United Nations Development Programme(UNDP), United Nations Population Fund (UNFPA), United Nations Refugee Agency (UNHCR), Joint United Nations Programme on HIV/AIDS (UNAIDS), United Nations Regular Programme for Technical Assistance (UNTA), United Nations Peacebuilding Fund (UNPBF), International Atomic Energy Agency (IAEA), World Health Organization (WHO), United Nations Economic Commission for Europe (UNECE), Food and Agriculture Organization of the United Nations (FAO), International Labour Organization (ILO), United Nations Environment Programme (UNEP), World Tourism Organization (UNWTO) and United Nations Institute for Disarmament Research (UNIDIR). Data are in current U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.",
DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2018 US$),NA,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in constant 2018 U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: https://stats.oecd.org/.",
DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),NA,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. World Bank GNI estimates are used for the denominator.",
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",NA,"Access to electricity, rural is the percentage of rural population with access to electricity.","World Bank Global Electrification Database from ""Tracking SDG 7: The Energy Progress Report"" led jointly by the custodian agencies: the International Energy Agency (IEA), the International Renewable Energy Agency (IRENA), the United Nations Statistics Division (UNSD), the World Bank and the World Health Organization (WHO).",
EG.ELC.ACCS.ZS,Access to electricity (% of population),NA,"Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.","World Bank Global Electrification Database from ""Tracking SDG 7: The Energy Progress Report"" led jointly by the custodian agencies: the International Energy Agency (IEA), the International Renewable Energy Agency (IRENA), the United Nations Statistics Division (UNSD), the World Bank and the World Health Organization (WHO).",
EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),NA,GDP per unit of energy use is the PPP GDP per kilogram of oil equivalent of energy use. PPP GDP is gross domestic product converted to 2017 constant international dollars using purchasing power parity rates. An international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States.,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",
EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),NA,"Electric power consumption measures the production of power plants and combined heat and power plants less transmission, distribution, and transformation losses and own use by heat and power plants.","IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",
EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale, 5=best),NA,"Disaster risk reduction progress score is an average of self-assessment scores, ranging from 1 to 5, submitted by countries under Priority 1 of the Hyogo Framework National Progress Reports. The Hyogo Framework is a global blueprint for disaster risk reduction efforts that was adopted by 168 countries in 2005. Assessments of ""Priority 1"" include four indicators that reflect the degree to which countries have prioritized disaster risk reduction and the strengthening of relevant institutions.","(UNISDR, 2009-2011 Progress Reports, http://www.preventionweb.net/english/hyogo)."
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",NA,"Droughts, floods and extreme temperatures is the annual average percentage of the population that is affected by natural disasters classified as either droughts, floods, or extreme temperature events. A drought is an extended period of time characterized by a deficiency in a region's water supply that is the result of constantly below average precipitation. A drought can lead to losses to agriculture, affect inland navigation and hydropower plants, and cause a lack of drinking water and famine. A flood is a significant rise of water level in a stream, lake, reservoir or coastal region. Extreme temperature events are either cold waves or heat waves. A cold wave can be both a prolonged period of excessively cold weather and the sudden invasion of very cold air over a large area. Along with frost it can cause damage to agriculture, infrastructure, and property. A heat wave is a prolonged period of excessively hot and sometimes also humid weather relative to normal climate patterns of a certain region. Population affected is the number of people injured, left homeless or requiring immediate assistance during a period of emergency resulting from a natural disaster; it can also include displaced or evacuated people. Average percentage of population affected is calculated by dividing the sum of total affected for the period stated by the sum of the annual population figures for the period stated.","EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Université Catholique de Louvain, Brussels (Belgium), World Bank.",
EN.POP.DNST,Population density (people per sq. km of land area),NA,"Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",Food and Agriculture Organization and World Bank population estimates.,
EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),NA,"Population living in slums is the proportion of the urban population living in slum households. A slum household is defined as a group of individuals living under the same roof lacking one or more of the following conditions: access to improved water, access to improved sanitation, sufficient living area, housing durability, and security of tenure, as adopted in the Millennium Development Goal Target 7.D. The successor, the Sustainable Development Goal 11.1.1, considers inadequate housing (housing affordability) to complement the above definition of slums/informal settlements.",United Nations Human Settlements Programme (UN-HABITAT),
EN.URB.MCTY,Population in urban agglomerations of more than 1 million,NA,Population in urban agglomerations of more than one million is the country's population living in metropolitan areas that in 2018 had a population of more than one million people.,"United Nations, World Urbanization Prospects.",
EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),NA,Population in urban agglomerations of more than one million is the percentage of a country's population living in metropolitan areas that in 2018 had a population of more than one million people.,"United Nations, World Urbanization Prospects.",
FM.AST.DOMS.CN,Net domestic credit (current LCU),NA,Net domestic credit is the sum of net claims on the central government and claims on other sectors of the domestic economy (IFS line 32). Data are in current local currency.,"International Monetary Fund, International Financial Statistics and data files.",
FM.AST.NFRG.CN,Net foreign assets (current LCU),NA,"Net foreign assets are the sum of foreign assets held by monetary authorities and deposit money banks, less their foreign liabilities. Data are in current local currency.","International Monetary Fund, International Financial Statistics and data files.",
FP.CPI.TOTL,Consumer price index (2010 = 100),NA,"Consumer price index reflects changes in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used. Data are period averages.","International Monetary Fund, International Financial Statistics and data files.",
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",NA,"Inflation as measured by the consumer price index reflects the annual percentage change in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used.","International Monetary Fund, International Financial Statistics and data files.",
FP.WPI.TOTL,Wholesale price index (2010 = 100),NA,"Wholesale price index refers to a mix of agricultural and industrial goods at various stages of production and distribution, including import duties. The Laspeyres formula is generally used.","International Monetary Fund, International Financial Statistics and data files.",
FR.INR.RINR,Real interest rate (%),NA,"Real interest rate is the lending interest rate adjusted for inflation as measured by the GDP deflator. The terms and conditions attached to lending rates differ by country, however, limiting their comparability.","International Monetary Fund, International Financial Statistics and data files using World Bank data on the GDP deflator.",
GC.DOD.TOTL.CN,"Central government debt, total (current LCU)",NA,"Debt is the entire stock of direct government fixed-term contractual obligations to others outstanding on a particular date. It includes domestic and foreign liabilities such as currency and money deposits, securities other than shares, and loans. It is the gross amount of government liabilities reduced by the amount of equity and financial derivatives held by the government. Because debt is a stock rather than a flow, it is measured as of a given date, usually the last day of the fiscal year.","International Monetary Fund, Government Finance Statistics Yearbook and data files.",
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",NA,"Debt is the entire stock of direct government fixed-term contractual obligations to others outstanding on a particular date. It includes domestic and foreign liabilities such as currency and money deposits, securities other than shares, and loans. It is the gross amount of government liabilities reduced by the amount of equity and financial derivatives held by the government. Because debt is a stock rather than a flow, it is measured as of a given date, usually the last day of the fiscal year.","International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",
